edge_index,u_lon,u_lat,v_lon,v_lat
7078,-122.504638,37.741781,-122.5045074,37.7399137
7079,-122.504638,37.741781,-122.505709,37.7417338
7080,-122.5045074,37.7399137,-122.5043749,37.7380507
7081,-122.5045074,37.7399137,-122.5055788,37.7398664
7082,-122.5045074,37.7399137,-122.5034379,37.7399609
7083,-122.5043749,37.7380507,-122.5054483,37.7380033
7084,-122.5043749,37.7380507,-122.5033075,37.7380978
7085,-122.5042025,37.7355616,-122.5052772,37.7355613
7086,-122.5042025,37.7355616,-122.5031302,37.7355627
7087,-122.4289851,37.7677328,-122.4289731,37.7675838
7088,-122.4289851,37.7677328,-122.4289165,37.7677369
7089,-122.4289851,37.7677328,-122.4290771,37.7686722
7090,-122.4289851,37.7677328,-122.4290647,37.767727
7091,-122.431214,37.7676036,-122.4313791,37.7693296
7092,-122.431214,37.7676036,-122.4311254,37.7668042
7093,-122.4334273,37.7674715,-122.43335,37.7666701
7094,-122.4334273,37.7674715,-122.4335908,37.7691679
7095,-122.4364926,37.767284,-122.4366159,37.7690152
7096,-122.4364926,37.767284,-122.4373166,37.7672328
7097,-122.4373166,37.7672328,-122.4382218,37.7671766
7098,-122.4373166,37.7672328,-122.438291,37.766726
7099,-122.4373166,37.7672328,-122.4375794,37.7690398
7100,-122.4382218,37.7671766,-122.438291,37.766726
7101,-122.4382218,37.7671766,-122.438517,37.768823
7102,-122.4145487,37.7686086,-122.4145026,37.7695043
7103,-122.4145487,37.7686086,-122.4134534,37.7686815
7104,-122.4145487,37.7686086,-122.4156342,37.7685357
7105,-122.4156342,37.7685357,-122.4156215,37.7693396
7106,-122.4156342,37.7685357,-122.4154813,37.7669359
7107,-122.4156342,37.7685357,-122.4167235,37.7684709
7108,-122.4185689,37.7683615,-122.4184157,37.7667595
7109,-122.4185689,37.7683615,-122.4192473,37.768321
7110,-122.4199977,37.7682771,-122.4192473,37.768321
7111,-122.4199977,37.7682771,-122.420072,37.7690589
7112,-122.4199977,37.7682771,-122.4198442,37.7666767
7113,-122.4199977,37.7682771,-122.4207971,37.7682296
7114,-122.4207971,37.7682296,-122.4209529,37.7699785
7115,-122.4207971,37.7682296,-122.4212101,37.7682051
7116,-122.4212101,37.7682051,-122.4210573,37.7666101
7117,-122.4212101,37.7682051,-122.4213841,37.7681948
7118,-122.4213841,37.7681948,-122.4222223,37.768145
7119,-122.4222223,37.768145,-122.422156,37.7674685
7120,-122.4222223,37.768145,-122.4243652,37.7680173
7121,-122.4253548,37.767958,-122.4252,37.766349
7122,-122.4253548,37.767958,-122.4244643,37.7680109
7123,-122.4253548,37.767958,-122.4255586,37.7679459
7124,-122.4255586,37.7679459,-122.425633,37.7687781
7125,-122.4278754,37.7678051,-122.4267836,37.7678731
7126,-122.4278754,37.7678051,-122.4277453,37.7662063
7127,-122.4278754,37.7678051,-122.4285072,37.7677683
7128,-122.4287893,37.7677441,-122.4289048,37.7676431
7129,-122.4287893,37.7677441,-122.4289165,37.7677369
7130,-122.4287893,37.7677441,-122.4285072,37.7677683
7131,-122.4287893,37.7677441,-122.4281132,37.7682684
7132,-122.4287893,37.7677441,-122.4281132,37.7682684
7133,-122.4662722,37.7349479,-122.4671534,37.7349081
7134,-122.4662722,37.7349479,-122.4658651,37.7334008
7135,-122.4662722,37.7349479,-122.4661179,37.736692
7136,-122.4662722,37.7349479,-122.4659564,37.7349622
7137,-122.4710917,37.7346623,-122.4709995,37.7346804
7138,-122.4710917,37.7346623,-122.4714613,37.7346882
7139,-122.4710917,37.7346623,-122.4713479,37.7332814
7140,-122.4705135,37.7347564,-122.4706454,37.7347504
7141,-122.4705135,37.7347564,-122.4704037,37.7332495
7142,-122.4705135,37.7347564,-122.469702,37.734793
7143,-122.4644637,37.7349193,-122.4644744,37.7351335
7144,-122.4644637,37.7349193,-122.4644508,37.7346564
7145,-122.4644637,37.7349193,-122.4653672,37.7348781
7146,-122.392358,37.732488,-122.393243,37.732616
7147,-122.392358,37.732488,-122.3917374,37.7324662
7148,-122.45682,37.7421625,-122.4564753,37.7417703
7149,-122.45682,37.7421625,-122.4559216,37.7434986
7150,-122.4563886,37.7416746,-122.4564753,37.7417703
7151,-122.4563886,37.7416746,-122.458702,37.7406389
7152,-122.4563886,37.7416746,-122.4553897,37.7429619
7153,-122.4503818,37.7488236,-122.4502638,37.7498373
7154,-122.4503818,37.7488236,-122.4491446,37.7485014
7155,-122.4503818,37.7488236,-122.4512361,37.7488395
